year,spp,month,type,date,month_char,day,month_split,timing,mpa_se,mpa_sd,mpa_mean
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.0633973476117931,0.2835215577063066,-1.261
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.03176061778532123,0.1420378007507342,-0.862
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.029299222591127643,0.09265227706022365,-1.8419999999999999
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.09368623757580999,0.29626189615121135,-0.8240000000000001
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.022958362757687662,0.07260071766267741,-1.8446666666
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10576388797694607,0.3344547802020476,-1.079
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.043368437039411845,0.13010531111823553,-1.9814814815555555
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1038788616670137,0.3116365850010411,-1.366111111111111
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.013686976778431868,0.04328202090167847,-1.903
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.07289142951405513,0.23050293917003462,-1.6206666666
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.0281735691739616,0.079686887252546107,-1.9025
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04875330678853959,0.13789517534177795,-1.253333333375
2021,ABCO,5,tree,2021-05-14,May,14,early May,midday,0.09281193641576736,0.207533798949044,-2.1593333334000002
2021,ABCO,5,tree,2021-05-14,May,14,early May,predawn,0.04423234110919294,0.09890652152411386,-0.788
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,midday,0.0644342903519202,0.14407945330885244,-1.6446666666
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,predawn,0.034978564864785414,0.07821444879304593,-0.696
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,midday,0.12206942470436874,0.2729555316132607,-2.0603333334
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,predawn,0.24816627490454862,0.5549166604094709,-0.873
2021,ARPA,7,shrub,2021-07-09,Jul,9,early July,midday,0.0706408010136999,0.19980235770094698,-1.8118750000000001
2021,ARPA,7,shrub,2021-07-09,Jul,9,early July,predawn,0.04485840819416451,0.12687873850931167,-0.57875
2021,ARPA,4,shrub,2021-04-24,Apr,24,late April,midday,0.12191709387029277,0.3855357023386781,-1.1765
2021,ARPA,4,shrub,2021-04-24,Apr,24,late April,predawn,0.14654312979081924,0.463410065588663,-0.784
2021,ARPA,5,shrub,2021-05-14,May,14,early May,midday,0.025464572328803985,0.056940514745165836,-1.517
2021,ARPA,5,shrub,2021-05-14,May,14,early May,predawn,0.024207436873820407,0.05412947441089743,-0.581
2021,ARPA,6,shrub,2021-06-15,Jun,15,late June,midday,0.05812008639666283,0.1299604640410989,-1.3026666666
2021,ARPA,6,shrub,2021-06-15,Jun,15,late June,predawn,0.031280984639234115,0.06994640805645422,-0.48600000000000004
2021,ARPA,8,shrub,2021-08-20,Aug,20,late August,midday,0.2154687396490626,0.4818027488815082,-2.7913333334
2021,ARPA,8,shrub,2021-08-20,Aug,20,late August,predawn,0.2618606499648238,0.5855382139536239,-1.556
2021,ARPA,9,shrub,2021-09-17,Sep,17,late Sept.,midday,0.1667113273318083,0.372777860533142,-3.0906666668
2021,ARPA,9,shrub,2021-09-17,Sep,17,late Sept.,predawn,0.2687122583692245,0.6008588761010728,-1.614
2021,ARPA,10,shrub,2021-10-17,Oct,17,late Oct.,midday,0.18169067119695495,0.40627269167395436,-1.873
2021,ARPA,10,shrub,2021-10-17,Oct,17,late Oct.,predawn,0.11081716674439729,0.2477947179144014,-1.0576666666
2021,CADE,4,tree,2021-04-24,Apr,24,late April,midday,0.05459902429482937,0.244174259656802,-1.280375
2021,CADE,4,tree,2021-04-24,Apr,24,late April,predawn,0.008488382153210784,0.03796119902715069,-0.7435
2021,CADE,5,tree,2021-05-14,May,14,early May,midday,0.05701266915734117,0.18028989002283077,-1.561
2021,CADE,5,tree,2021-05-14,May,14,early May,predawn,0.013432961119739918,0.04247875285886396,-0.546
2021,CADE,6,tree,2021-06-15,Jun,15,late June,midday,0.01520944308888639,0.04562832926665917,-1.3788888887777777
2021,CADE,6,tree,2021-06-15,Jun,15,late June,predawn,0.02296501633591062,0.06889504900773186,-0.5955555555555555
2021,CADE,7,tree,2021-07-09,Jul,9,early July,midday,0.052225472712077975,0.11677970714126666,-1.7
2021,CADE,7,tree,2021-07-09,Jul,9,early July,predawn,0.0699178088901533,0.1563409735162219,-0.801
2021,CADE,7,tree,2021-07-31,Jul,31,late July,midday,0.16023420358962062,0.35829457154693256,-2.075
2021,CADE,7,tree,2021-07-31,Jul,31,late July,predawn,0.23898070584391443,0.5343771035778739,-1.2903333334
2021,CADE,8,tree,2021-08-20,Aug,20,late August,midday,0.14473769377739856,0.3236433221928115,-2.433
2021,CADE,8,tree,2021-08-20,Aug,20,late August,predawn,0.2738757829105296,0.6124048679789195,-1.7956666666
2021,CADE,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.17793678652824998,0.3978787503750358,-2.517
2021,CADE,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.24083708186240757,0.538528086547025,-2.25
2021,CADE,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.10198774436176142,0.22805152926476946,-1.863
2021,CADE,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.0668281377864145,0.14943225890014514,-1.389
2021,CECO,5,shrub,2021-05-14,May,14,early May,midday,0.10305122782167883,0.32587659559341714,-1.3980000000000001
2021,CECO,5,shrub,2021-05-14,May,14,early May,predawn,0.02068398318494437,0.06540849794904799,-0.602
2021,CECO,6,shrub,2021-06-15,Jun,15,late June,midday,0.038236754359330806,0.1209152341078577,-1.2256666666
2021,CECO,6,shrub,2021-06-15,Jun,15,late June,predawn,0.03432454810740817,0.09708448291164878,-0.495
2021,CECO,4,shrub,2021-04-24,Apr,24,late April,midday,0.09071632371788932,0.2868702039056843,-1.06425
2021,CECO,4,shrub,2021-04-24,Apr,24,late April,predawn,0.1186779020898349,0.37529247853433517,-0.855
2021,CECO,7,shrub,2021-07-09,Jul,9,early July,midday,0.0260341655916904,0.05821416400050577,-1.7416666666
2021,CECO,7,shrub,2021-07-09,Jul,9,early July,predawn,0.0498347268478518,0.11143383687193044,-0.611
2021,CECO,7,shrub,2021-07-31,Jul,31,late July,midday,0.0703345181227223,0.15727276368709797,-2.0533333334
2021,CECO,7,shrub,2021-07-31,Jul,31,late July,predawn,0.1309087892765629,0.29272095167459017,-0.9043333334
2021,CECO,8,shrub,2021-08-20,Aug,20,late August,midday,0.1690961265079718,0.3781104336037291,-2.649
2021,CECO,8,shrub,2021-08-20,Aug,20,late August,predawn,0.10446291207888092,0.23358617253596162,-1.3800000000000001
2021,CECO,9,shrub,2021-09-17,Sep,17,late Sept.,midday,0.11549939875350966,0.2582645069732021,-2.7963333332
2021,CECO,9,shrub,2021-09-17,Sep,17,late Sept.,predawn,0.24764221509939155,0.5537448270608644,-1.6683333331999999
2021,CECO,10,shrub,2021-10-17,Oct,17,late Oct.,midday,0.26298003726518865,0.5880412400503897,-2.109
2021,CECO,10,shrub,2021-10-17,Oct,17,late Oct.,predawn,0.27704111209160914,0.619482759198977,-1.5313333334
